prompt_id,domain,prompt_type,question,model_answer,student_answer,human_score
1,science,fact-dense,"What is the process by which plants convert sunlight into energy called?","Photosynthesis is the process by which green plants and some other organisms use sunlight to synthesize foods with the help of chlorophyll.","Photosynthesis is when plants use sunlight to make food.",1.0
2,science,fact-dense,"Define photosynthesis in terms of energy conversion.","Photosynthesis converts light energy into chemical energy stored in glucose molecules.","Photosinthesis converts light energy to chemical energy stored in glucose.",0.95
3,science,fact-dense,"What is the role of chlorophyll in photosynthesis?","Chlorophyll absorbs light energy, primarily from the blue and red parts of the spectrum, and transfers it to the reaction center.","Chlorofil is the molecule that absorbs sunlight during photosynthesis.",0.85
4,science,fact-dense,"Explain the law of conservation of energy.","Energy cannot be created or destroyed; it can only be transformed from one form to another.","Energy is never created or destroyed, it only changes form.",0.9
5,science,fact-dense,"What is the chemical formula for water?","The chemical formula for water is H2O, which consists of two hydrogen atoms and one oxygen atom.","Water is H2O – two hydrogen and one oxygen.",1.0
6,science,fact-dense,"What is the powerhouse of the cell?","Mitochondria are the organelles that generate most of the cell's supply of adenosine triphosphate (ATP), used as a source of chemical energy.","Mitochondria is the powerhouse of the cell.",1.0
7,science,fact-dense,"What is the pH value of pure water?","Pure water has a neutral pH of 7.","The pH of pure water is 7.",1.0
8,science,fact-dense,"Name the three states of matter.","Solid, liquid, and gas.","The three states are solid, liquid, and gas.",1.0
9,science,fact-dense,"What is the function of the nucleus in a cell?","The nucleus contains the cell's genetic material (DNA) and controls cellular activities.","The nucleus is like the brain of the cell, it holds DNA.",0.95
10,science,fact-dense,"Explain Newton's first law of motion.","An object at rest stays at rest and an object in motion stays in motion with the same speed and in the same direction unless acted upon by an unbalanced force.","Newton's first law says that objects keep doing what they are doing unless a force acts on them.",0.9
11,humanities,analytical,"Describe the main cause of World War I.","The assassination of Archduke Franz Ferdinand of Austria-Hungary in June 1914 triggered a chain of alliances and conflicts, but underlying causes included militarism, imperialism, nationalism, and the alliance system.","World War I started because of the assassination of Archduke Franz Ferdinand, but there were also other reasons like alliances.",0.85
12,humanities,analytical,"What is the central theme of George Orwell's '1984'?","The novel explores the dangers of totalitarianism, surveillance, and the manipulation of truth by a repressive government.","1984 is about a dystopian future where the government controls everything and rewrites history.",0.9
13,humanities,analytical,"Why is the Renaissance considered a turning point in history?","The Renaissance marked a shift from medieval religious focus to humanism, art, science, and exploration, leading to modern culture.","The Renaissance was a cultural movement that changed the way people thought and led to new inventions.",0.8
14,humanities,analytical,"What is the significance of the Magna Carta?","The Magna Carta, signed in 1215, limited the power of the English monarchy and established the principle that everyone, including the king, is subject to the law.","The Magna Carta was a document that limited the king's power.",0.85
15,humanities,analytical,"Explain the concept of 'survival of the fittest' in social Darwinism.","Social Darwinism misapplied Darwin's theory of natural selection to human society, arguing that the strongest or most successful individuals or nations should prevail.","Social Darwinism says the strongest survive, which was used to justify imperialism.",0.8
16,humanities,analytical,"What role did the printing press play in the Reformation?","The printing press allowed for the rapid spread of Martin Luther's 95 Theses and other reformist texts, challenging the Catholic Church's authority.","The printing press helped spread ideas that led to the Reformation.",0.9
17,humanities,analytical,"Who was Socrates and why is he important?","Socrates was a classical Greek philosopher credited as a founder of Western philosophy; he developed the Socratic method of questioning.","Socrates was a Greek philosopher who asked a lot of questions.",0.85
18,humanities,analytical,"What is the message of Shakespeare's Sonnet 18?","The sonnet compares the beloved's beauty to a summer's day and claims that poetry gives eternal life to that beauty.","Shakespeare's Sonnet 18 says the person's beauty will live forever through the poem.",0.9
19,humanities,analytical,"Why is the French Revolution considered a key event in modern history?","It overthrew the monarchy, established a republic, and spread ideas of liberty, equality, and fraternity across Europe.","The French Revolution changed the government and inspired people to fight for their rights.",0.85
20,humanities,analytical,"How did the Industrial Revolution change society?","It shifted economies from agriculture to industry, led to urbanization, and transformed social classes and labor conditions.","The Industrial Revolution moved people from farms to cities and changed how work was done.",0.9
